title	english_title	created_date	nation	type	genre	status	director	producer	end char
종이꽃	Paper Flower	2019	한국	장편	드라마	개봉	고훈	(주)로드픽쳐스,㈜스토리셋	#end#
테우리	Teuri	2019	한국	장편	드라마	개봉	이난	(주)26컴퍼니	#end#
고양이 집사	Our Cat	2019	한국	장편	다큐멘터리	개봉	이희섭	엠앤씨에프	#end#
이 안에 외계인이 있다	There is an Alien Here	2019	한국	장편	코미디,SF	개봉예정	최은종	조아필름	#end#
장모의 마사지 - 무삭제		2020	한국	장편	멜로/로맨스	개봉예정	이정석	스마일컨텐츠	#end#
질풍노도	Maelstrom	2018	미국,한국	단편	드라마	기타			#end#
세트플레이	Set Play	2018	한국	장편	드라마	개봉예정	문승욱	영화사 키노(주),키노비(주),(주)무빙픽쳐스컴퍼니,한국방송예술교육진흥원	#end#
보이스비	Boys Be!!	2019	한국	장편	액션,드라마	개봉예정	윤민식	(주)골든스토리픽처스,(주)오렌지옐로우하임	#end#
조제	Josée	2020	한국	장편	멜로/로맨스,드라마	개봉예정	김종관	볼미디어(주)	#end#
문혜인 단편전 - 숨쉬는 숲, 혜인		2020	한국	옴니버스	기타	기타			#end#
더러운아내 무삭제판		2019	한국	장편	드라마,멜로/로맨스	기타	최정자	(주)가온콘텐츠	#end#
미소녀 파라다이스 베이글녀 마을		2020	한국	장편	드라마,멜로/로맨스	기타	에로핑	(주)라온컴퍼니플러스	#end#
새해전야	NEW YEAR BLUES	2020	한국	장편	멜로/로맨스	개봉예정	홍지영	(주)수필름	#end#
마녀 마음을 듣는 소녀		2020	한국	장편	드라마,멜로/로맨스	기타	에로핑	(주)라온컴퍼니플러스	#end#
소녀 소리를 보는 소녀		2020	한국	장편	드라마,멜로/로맨스	기타	에로핑	(주)라온컴퍼니플러스	#end#
자산어보	The Book of Fish	2019	한국	장편	사극,드라마	개봉준비	이준익	(주)씨네월드	#end#
이별유예, 일주일		2020	한국	장편	드라마,판타지	개봉예정			#end#
마지막 휴가	Last Holiday	2020	한국	장편	기타	개봉예정		거경필름	#end#
개 같은 것들	Things like dogs	2019	한국	장편	드라마,스릴러,미스터리,범죄,가족	개봉예정	최종학	(주)에이치에이케이프로덕션	#end#
